Listing,Who (Anjuna|competitor),Search funnel (A/B/C/D),Decision driver vs Anjuna,Channel,URL,BR,Price test dates,1 Search impression /15,2 Photos /20,3 Copy & positioning /15,4 Price & value /15,5 Social proof /15,6 Booking friction /10,7 Consistency /10,TOTAL /100,What's done well,What's done badly
Anjuna B1 (1BR),Anjuna,,,,,,,,,,,,,,,,
Anjuna A3 (1BR),Anjuna,,,,,,,,,,,,,,,,
Anjuna B2 (1BR),Anjuna,,,,,,,,,,,,,,,,
Anjuna B10 (1BR),Anjuna,,,,,,,,,,,,,,,,
Anjuna B3 (1BR),Anjuna,,,,,,,,,,,,,,,,
Anjuna 2A5/A13 (2BR),Anjuna,,,,,,,,,,,,,,,,
Anjuna 2A1 (2BR),Anjuna,,,,,,,,,,,,,,,,
Anjuna 2BR generic,Anjuna,,,,,,,,,,,,,,,,
Anjuna A14 (3BR),Anjuna,,,,,,,,,,,,,,,,
Anjuna A15 (3BR),Anjuna,,,,,,,,,,,,,,,,
Anjuna Booking 2BR aggregate,Anjuna,,,,,,,,,,,,,,,,
Anjuna Marriott 2BR,Anjuna,,,,,,,,,,,,,,,,
Hakuna Matata Bali Villas,competitor,A+C,240 Booking reviews (9.1) + 'breakfast/wifi/shuttle INCLUDED' in caps + garden pool w/ outdoor bathtub,Airbnb + Booking,airbnb.com/rooms/9603595,2BR,,,,,,,,,,Rating/reviews: 9.1/240 (Booking),
Makai Uluwatu,competitor,A+B+D,Hero shot: 180° ocean-view infinity pool; gym/yoga; design positioning,Airbnb,airbnb.com/rooms/742242003461197493,3BR,,,,,,,,,,Rating/reviews: n/i (glowing snippets),
Amaya 1BR Private Pool,competitor,A,Superhost badge + sunken bath + 'uninterrupted ocean views' at 1BR price,Airbnb,airbnb.com/rooms/1454780236651750054,1BR,,,,,,,,,,Rating/reviews: n/i (Superhost),
Bingin Castaways,competitor,B+C,Decade of reviews + daily breakfast + staff praised by name,Airbnb + Booking,airbnb.com/rooms/8558723,2BR,,,,,,,,,,Rating/reviews: 8.9 Booking; TA 4/48,
Zyloh Seaside / collection,competitor,B+D,"4.89★ + 'brand new luxury' title formula + amenity stacking (cinema, floating breakfast)",Airbnb,airbnb.com/rooms/785113228773090007,2-3BR,,,,,,,,,,Rating/reviews: 4.89 (Airbnb),
The Young Villas (Bingin),competitor,B+C+D,24h concierge + 10%-discount keychain network + covers 1/2/3BR - captures any group size,Airbnb + Booking + site,airbnb.com/rooms/785938459851062962 etc.,1-3BR,,,,,,,,,,Rating/reviews: n/i (positive),
Villa Palmera at Bingin Sentosa,competitor,B,Sunken living room + semi-outdoor photography; 'retreat' positioning,Airbnb + Booking,airbnb.com/rooms/1272191638802649400,2BR,,,,,,,,,,Rating/reviews: ~$249/night,
COZ Bali Boutique Villas,competitor,C,'Walking distance to Padang Padang' baked into the NAME + 9.6 Exceptional,Booking,booking.com/hotel/id/coz-bali-boutique-villas,1-2BR,,,,,,,,,,Rating/reviews: 9.3-9.6/72+,
Marghe 1BR Romantic Villa (Valentina),competitor,C,'5 mins to Thomas Beach' in title + $136 lead + 'Romantic' keyword,Booking,BC-15309881,1BR,,,,,,,,,,Rating/reviews: 9.5/4 (low count),
Villa Yin Uluwatu,competitor,C,'8-minute walk from Thomas Beach' + full kitchen at budget-1BR price,Booking + Agoda,booking.com/hotel/id/yin-villa,1BR,,,,,,,,,,Rating/reviews: n/i,
KELUK Villas (Bingin),competitor,C,Walk-time + 'Private Pool' in title + location 9.7 badge,Booking + Agoda,booking.com/hotel/id/keluk-villa...,1BR,,,,,,,,,,Rating/reviews: loc 9.7; ~$164,
Ayora Villas (I/II/IV),competitor,C+A,$117 lead price UNDERCUTS Anjuna + keyword-stacked 'Brand New Ocean view Architect-Designed' title,Booking + Airbnb + site,BC-15604943,1-2BR,,,,,,,,,,Rating/reviews: 9.8/9 (low count),
Uluwatu Surf Villas,competitor,D,Cliff-front lifestyle compound: private cliff access + restaurant/yoga; in every roundup,Direct + TripAdvisor,tripadvisor d2157526,1-3BR,,,,,,,,,,"Rating/reviews: TA #11/118, 204 rev",
Bukit Vista Bingin portfolio,competitor,D+B,Professionally optimized titles/photos + dynamic pricing at manager scale,Airbnb via bukitvista.com,bukitvista.com/bingin-listing-page,1-3BR,,,,,,,,,,Rating/reviews: n/i,
