market,pain_intensity,urgency,willingness_to_pay,ease_finding_leads,ease_reaching_decision_makers,implementation_speed,roi_demonstrability,competition_weakness,founder_fit,bali_advantage,remote_delivery,close_in_7_14_days,total_120,notes
Bali villa mgmt & rental operators,9,9,7,9,8,8,8,7,9,10,6,8,98,PRIMARY. Occupancy war (S17-S24); owner-decision-makers; in-person access; mystery-shop provable
Bali real estate agencies,8,7,8,9,8,8,9,7,8,10,6,7,95,SEGMENT 2. Fewer transactions but each saved deal = 2-4x fee; Canggu corridor still 33.5% of sales (S16)
Bali wellness & aesthetic clinics,8,7,7,9,7,8,8,7,7,9,6,7,90,BACKUP 1. 51-clinic directory (S48); missed-inquiry economics (S25-S32); medical tourism grows independent of villas
Dubai real estate agencies,9,8,9,9,5,7,9,5,7,2,9,5,84,BACKUP 2 / wave 2. Biggest deal sizes; heavy vendor competition; cold-trust barrier without case study
Boutique hotels & tour operators (Bali/SEA),7,6,6,8,6,7,7,6,7,9,6,6,81,Good upsell adjacency to villa segment; longer decision cycles
Ecommerce brands (Shopify),7,6,5,8,5,8,7,3,6,1,10,5,71,Saturated by $50-200/mo SaaS chatbots; hard to defend $6.5k
Marketing/creative agencies,6,5,6,8,6,7,6,4,7,3,9,5,72,Can build automations themselves; price-sensitive; good referral partners though
Australia clinics & service businesses,8,6,8,7,4,6,8,5,6,3,8,4,73,Compliance (AHPRA advertising rules) + no local presence; revisit after 3 case studies
Singapore service businesses,6,5,8,7,4,6,7,5,6,4,8,4,70,Procurement friction; polished vendor market
Online course / creator businesses,6,5,5,7,6,8,6,4,6,3,10,5,71,Volatile budgets; DIY culture
Local high-lead-value services global (legal/home services),8,7,7,6,4,7,8,6,5,1,8,4,71,Real pain but zero edge vs local US/EU vendors
Bali restaurants & food halls,6,5,4,9,7,7,5,7,6,10,4,5,75,High access low budget; avg check too small to fund $5k+ projects
