Company	Priority	Best stakeholder	Best channel	Public evidence to mention	Main pain hypothesis	Mini-audit angle	Email subject	Deep audit channel	Scenario	Manual verification needed	Next action
Balitecture	1	Unknown	WhatsApp	80+ villas; 160+ team; 24/7 support	Scale may strain approved-answer consistency	Response control at portfolio scale	Balitecture: a response-control layer for 24/7 villa inquiries	WhatsApp	3BR Uluwatu/Canggu Aug 14-17 for 3 couples, late check-in	Verify best recipient / WhatsApp owner	Send founder/ops-style first touch
Short Stay Bali / TJM	2	Antoine Cardyn	Email	20+ years; 70+/80+ villas; direct booking engine; 24/7 concierge	Cross-channel qualification consistency	Response governance across direct + OTA demand	TJM / Short Stay Bali: tightening first-response + qualification flow	Email	Legal 4BR Canggu Jul 12-15 for 6 adults + 1 child, transfer needed	Normalize public scale figures before send	Send email to director/reservations
OriVista	3	Manish Agarwal	WhatsApp	52+ villas; 18h concierge; direct-booking posture	Qualification + follow-up on mixed concierge intent	Response control for direct-booking inquiries	OriVista: a cleaner first-response + concierge qualification layer	WhatsApp	2BR Canggu Aug 8-11 for 4 adults, direct booking + beach club	None beyond recipient choice	Send founder-led WhatsApp
Gravity Bali	4	Unknown	Email	40+ villas; 120+ staff; owner transparency	Handoff consistency across portfolio	Qualification + escalation clarity at scale	Gravity Bali: tightening inquiry control across portfolio scale	Website form / email	3BR Seminyak/Canggu Sept 5-8 for 5 adults, transfer + flexible check-in	Verify best decision-maker and phone	Send email first, form second
Nagisa Bali	5	Unknown	Website form / phone	Since 2006; 100+ staff; multi-market reservations	Consistency across multilingual reservation flows	First-response governance across guest markets	Nagisa Bali: adding response control to a multi-market reservations flow	Website form / booking form	3BR Seminyak/Canggu Aug 21-24 for 4 adults, pickup + breakfast	Verify best direct contact and named recipient	Send form-led outreach
Nakula	6	Unknown	Mgmt email / WhatsApp	70+ homes; segmented routes for reservations/events/guest service	Intent classification and routing	Response-control + routing layer	Nakula: cleaner inquiry routing across reservations, service, and management	WhatsApp (text only)	4BR Jimbaran/Nusa Dua Dec 12-15 for 6 adults, pickup + breakfast	Verify exact management inquiry address from contact page	Send to management route
Supala Villa Management	7	Unknown	Email	40+ properties; reservation system; transparent reporting	Standardization before human takeover	Approved-answer workflow over current reservation flow	Supala: adding first-response control to your reservations flow	Email	2BR Ubud Sept 14-17 for 4 adults, quiet area, late arrival	None beyond recipient choice	Send email first touch
Bingin Villa Management	8	Reza	Instagram DM / WhatsApp	Boutique by choice; Bingin/Uluwatu; Hostaway; smart pricing	High-touch team may still need tighter early qualification	Boutique service with controlled first response	Bingin Villa Management: keeping boutique service while tightening lead handling	Instagram DM / WhatsApp	3BR Bingin/Uluwatu Aug 16-19 for 4 adults, calm and near beach	Verify WhatsApp from social before sending	Start on IG DM
Villa Management Bali	9	Desi	WhatsApp	Founder-led; OTA compliance; regular reports	WhatsApp inquiries may be under-qualified	Founder-friendly response-control layer	Villa Management Bali: adding control to first response + qualification	WhatsApp	3BR Uluwatu/Pecatu Sept 20-23 for 5 adults, quiet villa	None	Send direct founder WhatsApp
My Villa Management	10	Stephane (Director)	Email	Short stay + long stay + retreats + services + sales	Broad inquiry mix may need cleaner routing	Intent classification from first touch	My Villa Management: cleaner first-touch routing across mixed inquiry types	Email	5BR Umalas/Canggu Oct 10-13 for 8 adults, chef + pickup	Verify best recipient / channel	Email first touch
